composition,temperature,nutrients
CL,18-21 °C,0.01 g/L
DS,18-21 °C,0.01 g/L
DP,18-21 °C,0.01 g/L
CLS,18-21 °C,0.01 g/L
CLP,18-21 °C,0.01 g/L
DPS,18-21 °C,0.01 g/L
CDLS,18-21 °C,0.01 g/L
CLPS,18-21 °C,0.01 g/L
CDPS,18-21 °C,0.01 g/L
CD,18-21 °C,0.35 g/L
DL,18-21 °C,0.35 g/L
LP,18-21 °C,0.35 g/L
CDS,18-21 °C,0.35 g/L
DLS,18-21 °C,0.35 g/L
CLP,18-21 °C,0.35 g/L
CDPS,18-21 °C,0.35 g/L
CDLS,18-21 °C,0.35 g/L
CDLP,18-21 °C,0.35 g/L
LS,18-21 °C,0.75 g/L
DS,18-21 °C,0.75 g/L
LP,18-21 °C,0.75 g/L
CDP,18-21 °C,0.75 g/L
DLS,18-21 °C,0.75 g/L
CLP,18-21 °C,0.75 g/L
CDPS,18-21 °C,0.75 g/L
CDLS,18-21 °C,0.75 g/L
CLPS,18-21 °C,0.75 g/L
CP,22-25 °C,0.01 g/L
CS,22-25 °C,0.01 g/L
DS,22-25 °C,0.01 g/L
CDP,22-25 °C,0.01 g/L
DLS,22-25 °C,0.01 g/L
CDL,22-25 °C,0.01 g/L
CDPS,22-25 °C,0.01 g/L
CLPS,22-25 °C,0.01 g/L
CDLS,22-25 °C,0.01 g/L
CD,22-25 °C,0.35 g/L
LS,22-25 °C,0.35 g/L
DL,22-25 °C,0.35 g/L
CDS,22-25 °C,0.35 g/L
CDL,22-25 °C,0.35 g/L
DLS,22-25 °C,0.35 g/L
CDPS,22-25 °C,0.35 g/L
CLPS,22-25 °C,0.35 g/L
DLPS,22-25 °C,0.35 g/L
LS,22-25 °C,0.75 g/L
CP,22-25 °C,0.75 g/L
PS,22-25 °C,0.75 g/L
CDS,22-25 °C,0.75 g/L
CLP,22-25 °C,0.75 g/L
LPS,22-25 °C,0.75 g/L
CDLS,22-25 °C,0.75 g/L
CLPS,22-25 °C,0.75 g/L
DLPS,22-25 °C,0.75 g/L
CP,25-28 °C,0.01 g/L
CD,25-28 °C,0.01 g/L
DS,25-28 °C,0.01 g/L
CPS,25-28 °C,0.01 g/L
LPS,25-28 °C,0.01 g/L
DPS,25-28 °C,0.01 g/L
CLPS,25-28 °C,0.01 g/L
CDPS,25-28 °C,0.01 g/L
CDLS,25-28 °C,0.01 g/L
CD,25-28 °C,0.35 g/L
LS,25-28 °C,0.35 g/L
DL,25-28 °C,0.35 g/L
CDS,25-28 °C,0.35 g/L
CLP,25-28 °C,0.35 g/L
DLS,25-28 °C,0.35 g/L
CDPS,25-28 °C,0.35 g/L
CDLS,25-28 °C,0.35 g/L
DLPS,25-28 °C,0.35 g/L
CS,25-28 °C,0.75 g/L
CP,25-28 °C,0.75 g/L
PS,25-28 °C,0.75 g/L
CDS,25-28 °C,0.75 g/L
CLS,25-28 °C,0.75 g/L
LPS,25-28 °C,0.75 g/L
CDPS,25-28 °C,0.75 g/L
CDLP,25-28 °C,0.75 g/L
DLPS,25-28 °C,0.75 g/L
